,Continent,country,CO2_per_capita_2016,crimeIndex,epi_score2022,happiness2021,fem_life_expectancy,male_life_expectancy,religion,homosexuality_score,avg_schooling,malnourishment_2016_18,protein_supply_2017,political_stability_2020,food_insecurity_2017,obesity_2016
205,South America,Bolivia,1.76,57.77,40.0,5.716,75.35,69.5,christians,5,9,5.74,80.89999999999999,-0.029000000000000026,25.37142857142857,23.51
206,South America,Brazil,2.25,67.49,46.1,6.33,80.14,73.01,christians,10,8,2.5,94.3,-0.42,21.8,22.1
207,South America,Chile,4.46,53.42,68.1,6.172,82.8,78.54,christians,10,11,2.9,90.7,0.07,13.7,28.0
208,South America,Colombia,1.61,56.87,55.8,6.012,80.54,75.18,christians,10,9,5.9,70.3,-0.67,25.37142857142857,22.3
209,South America,Ecuador,2.43,55.23,50.2,5.764,80.45,75.05,christians,8,9,10.7,62.3,-0.36,26.2,19.9
210,South America,Guyana,4.22,68.74,35.3,5.8739,73.53,67.22,christians,1,9,6.1,84.3,-0.15,25.37142857142857,20.2
211,South America,Paraguay,0.89,49.37,47.5,5.653,76.78,72.55,christians,2,9,7.8,68.0,0.02,15.6,20.3
212,South America,Peru,1.87,66.72,43.0,5.84,80.15,74.87,christians,5,10,7.6,87.4,-0.29,42.9,19.7
213,South America,Suriname,3.81,61.35636363636363,39.3,5.8739,75.55,68.88,christians,3,9,8.3,62.0,0.42,25.37142857142857,26.4
214,South America,Uruguay,1.9,51.73,70.8,6.431,81.88,74.75,christians,10,9,2.5,84.0,1.05,25.1,27.9
215,South America,Venezuela,5.89,83.76,46.8,4.892,76.25,68.59,christians,3,9,5.74,80.89999999999999,-0.029000000000000026,25.37142857142857,23.51
